Name of Institute	Branch	Delhi	Outside Delhi
Bhagwan Parshuram Institute of Technology	Computer Science & Engineering	Min Rank - 103410 Max Rank - 179114	Min Rank - 58591 Max Rank - 79034
Bhagwan Parshuram Institute of Technology	CSE- DS	Min Rank - 129609 Max Rank - 186009	Min Rank - 61784 Max Rank - 81396
Bhagwan Parshuram Institute of Technology	Electrical & Electronics Engineering	Min Rank - 212417 Max Rank - 354619	Min Rank - 102985 Max Rank - 112421
Bhagwan Parshuram Institute of Technology	Electronics & Communication Engineering	Min Rank - 201392 Max Rank - 286487	Min Rank - 85798 Max Rank - 100042
Bhagwan Parshuram Institute of Technology	Information Technology	Min Rank - 172125 Max Rank - 215269	Min Rank - 71440 Max Rank - 86992
Bharati Vidyapeeths College of Engineering	Computer Science & Engineering	Min Rank - 81514 Max Rank - 159959	Min Rank - 65507 Max Rank - 79459
Bharati Vidyapeeths College of Engineering	CSE- AIML	Min Rank - 101096 Max Rank - 167623	Min Rank - 67452 Max Rank - 81593
Bharati Vidyapeeths College of Engineering	Electrical & Electronics Engineering	Min Rank - 233709 Max Rank - 325165	Min Rank - 83873 Max Rank - 110304
Bharati Vidyapeeths College of Engineering	Electronics & Communication Engineering	Min Rank - 142087 Max Rank - 257480	Min Rank - 86956 Max Rank - 96114
Bharati Vidyapeeths College of Engineering	Information Technology	Min Rank - 102406 Max Rank - 188921	Min Rank - 81810 Max Rank - 84481
Bharati Vidyapeeths College of Engineering	Instrumentation & Control Engineering (Shift I)	Min Rank - 264835 Max Rank - 377275	Min Rank - 109261 Max Rank - 117932
Delhi Institute of Sciences & Technology 	Computer Science & Engineering	Min Rank - 179136 Max Rank - 754791	Min Rank - 110045 Max Rank - 187551
Delhi Technical Campus 	Artificial Intelligence & Data Science	Min Rank - 228882 Max Rank - 1424341	Min Rank - 214081 Max Rank - 231380
Delhi Technical Campus	Artificial Intelligence & Machine Learning	Min Rank - 300362 Max Rank - 1365234	Min Rank - 202504 Max Rank - 231770
Delhi Technical Campus	B. Tech. (Computer Science & Applied Mathematics)	Min Rank - 366040 Max Rank - 1401259	Min Rank - 162145 Max Rank - 236425
Delhi Technical Campus	Computer Science & Engineering	Min Rank - 164365 Max Rank - 960734	Min Rank - 109025 Max Rank - 214611
Delhi Technical Campus	Computer Science & Technology	Min Rank - 369269 Max Rank - 1344834	Min Rank - 179643 Max Rank - 224777
Delhi Technical Campus	CSE (Cyber Security)	Min Rank - 367415 Max Rank - 1469925	Min Rank - 189703 Max Rank - 232312
Delhi Technical Campus	CSE- AIML	Min Rank - 159224 Max Rank - 896507	Min Rank - 126693 Max Rank - 220264
Delhi Technical Campus	CSE- DS	Min Rank - 373972 Max Rank - 1345618	Min Rank - 200958 Max Rank - 229851
