page,clicks,impressions,ctr,position,baseline_date
/GGSIPU-counselling-for-B-Tech-admission.php,2815,210377,0.0134,5.6,2026-06-11
/ipu-colleges-list.php,1745,91837,0.019,6.7,2026-06-11
/ipu-counselling.php,725,38799,0.0187,4.3,2026-06-11
/,642,103356,0.0062,9.5,2026-06-11
/IPU-Law-Admission.php,493,33641,0.0147,6.1,2026-06-11
/guide-to-bjmc-colleges-under-ip-university.php,376,15648,0.024,4.8,2026-06-11
/comprehensive-guide-to-bba-colleges-under-ip-university-top-10-institutions.php,371,31902,0.0116,7.1,2026-06-11
/IPU-B-Tech-admission-2026.php,367,34915,0.0105,6.2,2026-06-11
/top-ipu-colleges.php,183,13985,0.0131,5.7,2026-06-11
/top-bcom-colleges-ipu.php,181,7512,0.0241,5.5,2026-06-11
/ipu-btech-cutoff-2025.php,147,7595,0.0194,7.3,2026-06-11
/ba-economics-admission-ipu.php,134,5152,0.026,5.8,2026-06-11
/b-tech-colleges-under-IP-university.php,129,17159,0.0075,5.6,2026-06-11
/ultimate-guide-to-ballb-admission-in-ip-university.php,123,12527,0.0098,6.7,2026-06-11
/top-bca-colleges-ipu.php,123,7850,0.0157,6.3,2026-06-11
/ipu-btech-via-cuet.php,111,12819,0.0087,6.3,2026-06-11
/news/ipu-centralized-online-counselling-enrolment.php,106,5676,0.0187,4.7,2026-06-11
/usict-admission.php,98,7755,0.0126,6.5,2026-06-11
/top-btech-colleges-delhi.php,92,8936,0.0103,5.1,2026-06-11
/bcom-admission-ipu.php,90,8769,0.0103,5.8,2026-06-11
/ipu-cutoff-analysis.php,88,7961,0.0111,8.1,2026-06-11
/top-law-colleges-ipu.php,84,4706,0.0178,6.4,2026-06-11
/top-mca-colleges-ipu.php,79,4272,0.0185,6.1,2026-06-11
/IP-University-management-quota-admission-eligibility-criteria.php,78,4180,0.0187,6.2,2026-06-11
/ipu-ba-economics-cutoff-2025.php,75,2362,0.0318,5.6,2026-06-11
