query,clicks,impressions,ctr,position,baseline_date,window
ipu,112,36759,0.003,9.3,2026-06-11,2026-03-10..2026-06-09
ipu counselling 2026,74,5675,0.013,1.8,2026-06-11,2026-03-10..2026-06-09
ipu btech counselling 2026 date,71,1470,0.0483,3.5,2026-06-11,2026-03-10..2026-06-09
ip university,61,17355,0.0035,9.1,2026-06-11,2026-03-10..2026-06-09
ipu college list,49,1005,0.0488,5.8,2026-06-11,2026-03-10..2026-06-09
ggsipu counselling,47,3559,0.0132,5.4,2026-06-11,2026-03-10..2026-06-09
ipu counselling registration 2026,41,2206,0.0186,1.9,2026-06-11,2026-03-10..2026-06-09
ipu btech counselling 2026,41,1529,0.0268,6.0,2026-06-11,2026-03-10..2026-06-09
ipu counselling 2026 date,36,2460,0.0146,6.4,2026-06-11,2026-03-10..2026-06-09
ipu college,34,5054,0.0067,8.3,2026-06-11,2026-03-10..2026-06-09
ggsipu counselling date 2026,32,4122,0.0078,5.6,2026-06-11,2026-03-10..2026-06-09
ipu colleges,30,1932,0.0155,7.9,2026-06-11,2026-03-10..2026-06-09
ggsipu counselling registration,30,1356,0.0221,5.4,2026-06-11,2026-03-10..2026-06-09
ggsipu counselling registration last date,29,1804,0.0161,6.6,2026-06-11,2026-03-10..2026-06-09
ggsipu counselling registration 2026,29,1297,0.0224,1.7,2026-06-11,2026-03-10..2026-06-09
colleges under ipu,28,1084,0.0258,7.5,2026-06-11,2026-03-10..2026-06-09
btech counselling 2026 date,24,2022,0.0119,5.6,2026-06-11,2026-03-10..2026-06-09
ipu helpline number,24,1028,0.0233,7.0,2026-06-11,2026-03-10..2026-06-09
ggsipu counselling 2026,23,1770,0.013,2.4,2026-06-11,2026-03-10..2026-06-09
ggsipu counselling date 2026 for btech,21,710,0.0296,4.1,2026-06-11,2026-03-10..2026-06-09
ipu counselling,20,2981,0.0067,7.5,2026-06-11,2026-03-10..2026-06-09
when will ipu counselling start 2026,20,1543,0.013,4.8,2026-06-11,2026-03-10..2026-06-09
ipu counselling registration 2026 last date,19,1238,0.0153,4.8,2026-06-11,2026-03-10..2026-06-09
ggsipu counselling for btech,19,891,0.0213,6.5,2026-06-11,2026-03-10..2026-06-09
ggsipu counselling date,17,3432,0.005,7.0,2026-06-11,2026-03-10..2026-06-09
