target,matched_queries,clicks,impressions,best_position,top_query,top_query_pos,baseline_date
ipu,696,2398,179274,1.0,ipu,9.3,2026-06-11
ggsipu,207,802,55028,1.2,ggsipu counselling,5.4,2026-06-11
admission,69,127,6526,1.0,ipu admission,11.0,2026-06-11
counselling,283,1297,81593,1.0,ipu counselling 2026,1.8,2026-06-11
management quota,11,16,352,5.8,ipu management quota 2026,8.3,2026-06-11
btech,208,620,24846,1.0,ipu btech counselling 2026 date,3.5,2026-06-11
bba,42,52,2256,1.0,top 10 colleges of ip university for bba,9.6,2026-06-11
ballb,24,34,1782,2.3,ipu ba llb counselling 2026,8.6,2026-06-11
bballb,4,4,171,6.6,ggsipu bba llb fees,6.9,2026-06-11
ba,62,87,3615,1.0,ipu ba llb counselling 2026,8.6,2026-06-11
bcom,26,33,820,1.0,top ipu colleges for bcom hons,5.3,2026-06-11
computer science,9,13,808,1.0,top 10 ipu colleges for btech in cse,4.9,2026-06-11
helpline,14,69,2748,4.1,ipu helpline number,7.0,2026-06-11
contact number,18,63,2591,5.8,ggsipu contact number,9.2,2026-06-11
mait,16,17,1051,1.0,mait branches,8.1,2026-06-11
msit,2,3,282,3.4,msit janakpuri,10.3,2026-06-11
vips,0,0,0,,>100 / not in top-1000,,2026-06-11
